id;licencearea;gridsupplypoint;fromsubstation_sitefunctionallocation;fromsubstation;fromnode;tonode;tosubstation;linename;operating_voltage;positive_sequence_impedance_r_percent;positive_sequence_impedance_x_percent;susceptance_b_percent;rating_amps_summer;rating_amps_winter;circuit_length
486;London Power Networks (LPN);Redbridge;LPN-S000000003567;Perth Rd B 33kV;PERB31;PERB3A;Perth Rd B 33kV;lne_PERB_LEYB/REBR_3;33;0.0;0.01;0.0;420;540;1.000
506;London Power Networks (LPN);St Johns Wood;LPN-S000000003206;Back Hill 132kV;BACH11;LONG1B;Longford St B 132kV;lne_LONG_BACH_2;132;0.05;0.32;3.4;;500;1.000
517;London Power Networks (LPN);St Johns Wood;;Back Hill B 33kV;BACB32;CSBN31;LPN 0047;lne_CSBN_BACB;33;1.45;3.18;0.41;737;819;3.430
554;London Power Networks (LPN);St Johns Wood;LPN-S000000003433;Finsbury Mkt F 33kV;FINF31;MOFW31;LPN 0071;lne_FINF_MOFW;33;0.47;1.04;0.13;737;819;1.120
578;London Power Networks (LPN);St Johns Wood;;LPN 0047;CSBN31;CSBS30;LPN 0046;lne_CSBN_CSBS;33;0.0;0.01;0.0;737;819;0.010
596;London Power Networks (LPN);St Johns Wood;LPN-S000000000174;Old Brompton Rd 132kV;OBRD12;OBRD1C;Old Brompton Rd 132kV;lne_OBRD_GRID2;132;0.0;0.01;0.0;515;560;1.000
604;London Power Networks (LPN);St Johns Wood;;Old Brompton Rd B 11kV;OBRB52;OBRD5E;Old Brompton Rd B 11kV;lne_OBRD_GRID3A;11;0.0;0.01;0.0;1600;1600;1.000
607;London Power Networks (LPN);St Johns Wood;LPN-S000000003284;Shorts Gdns 22kV;SHOG8C;SHOG8D;Shorts Gdns 22kV;lne_SHOG_SHOG_2;22;3.21;3.05;0.08;;2624;1.000
613;London Power Networks (LPN);St Johns Wood;;Shorts Gdns 22kV;SHOG81;SJOW81;St Johns Wood 22kV;lne_SJWD_SHOG_4;22;11.66;11.13;0.29;290;310;5.500
637;London Power Networks (LPN);West Ham;LPN-S000000003615;Bow 132kV;BOWM12;BOWS12;Bow 132kV;lne_BOWM_BOWT_2;132;0.13;0.6;1.07;;437;2.000
646;London Power Networks (LPN);West Ham;LPN-S000000003620;Brunswick Wharf B 132kV;BRWB11;WFCS12;West Ferry Circus 132kV;lne_BRWB_WFCS_1;132;0.16;0.16;1.69;471;538;2.175
741;London Power Networks (LPN);Willesden 132kV;;Willesden Grid 132kV;WISD11;TAYL12;LPN 0038;lne_WISD_GIBR3/TAYT_3;132;0.02;0.12;2.72;;917;1.600
756;London Power Networks (LPN);Willesden Grid 66 kV;LPN-S000000000183;Townmead B 11kV;TOWB53;TOWB53;Townmead B 11kV;lne_BS1-3_BS3-1;11;4.21;7.36;0.03;655;719;1.000
793;London Power Networks (LPN);Wimbledon 1&2 132kV;;LPN 0045;WIMD3D;WIMD3B;LPN 0045;lne_WIMD_T4A_1;33;0.0;0.01;0.0;;;1.000
826;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000001027;Durnsford Rd 33kV;DURN34;WIMC32;Wimbledon Grid C 33kV;lne_WIMC_DURN_4;33;0.36;0.44;0.06;830;900;0.470
868;London Power Networks (LPN);Wimbledon 3&4 132kV;LPN-S000000004099;Wimbledon Grid 3&4 132kV;WIMB11;STWR11;Stewarts Rd 132kV;lne_WIMB34_STEW1;132;0.12;0.67;14.92;;899;8.540
